Date - Year,Date - Quarter,Date - Month,Date - Day,Value,VanityName
2025,Q3,7,3,97.2,Daily LKD Free (% Devices)
2025,Q3,7,4,97.3,Daily LKD Free (% Devices)
2025,Q3,7,5,95.7,Daily LKD Free (% Devices)
2025,Q3,7,6,95.6,Daily LKD Free (% Devices)
2025,Q3,7,7,95.5,Daily LKD Free (% Devices)
2025,Q3,7,8,95.4,Daily LKD Free (% Devices)
2025,Q3,7,9,95.4,Daily LKD Free (% Devices)
2025,Q3,7,10,94.9,Daily LKD Free (% Devices)
2025,Q3,7,11,94.8,Daily LKD Free (% Devices)
2025,Q3,7,12,94.4,Daily LKD Free (% Devices)
2025,Q3,7,13,94.2,Daily LKD Free (% Devices)
2025,Q3,7,14,95.9,Daily LKD Free (% Devices)
2025,Q3,7,15,96.2,Daily LKD Free (% Devices)
2025,Q3,7,16,96.2,Daily LKD Free (% Devices)
2025,Q3,7,17,96.3,Daily LKD Free (% Devices)
2025,Q3,7,18,96.4,Daily LKD Free (% Devices)
2025,Q3,7,19,96.7,Daily LKD Free (% Devices)
2025,Q3,7,20,97.2,Daily LKD Free (% Devices)
2025,Q3,7,21,97.3,Daily LKD Free (% Devices)
2025,Q3,7,22,97.3,Daily LKD Free (% Devices)
2025,Q3,7,23,97.4,Daily LKD Free (% Devices)
2025,Q3,7,24,97.4,Daily LKD Free (% Devices)
2025,Q3,7,25,97.4,Daily LKD Free (% Devices)
2025,Q3,7,26,97.5,Daily LKD Free (% Devices)
2025,Q3,7,27,97.5,Daily LKD Free (% Devices)
2025,Q3,7,28,97.6,Daily LKD Free (% Devices)
2025,Q3,7,29,97.6,Daily LKD Free (% Devices)
2025,Q3,7,30,97.6,Daily LKD Free (% Devices)
2025,Q3,7,31,97.7,Daily LKD Free (% Devices)
2025,Q3,8,1,97.7,Daily LKD Free (% Devices)
2025,Q3,8,2,97.7,Daily LKD Free (% Devices)
2025,Q3,8,3,97.7,Daily LKD Free (% Devices)
2025,Q3,8,4,97.7,Daily LKD Free (% Devices)
2025,Q3,8,5,97.7,Daily LKD Free (% Devices)
2025,Q3,8,6,97.7,Daily LKD Free (% Devices)
2025,Q3,8,7,97.8,Daily LKD Free (% Devices)
2025,Q3,8,8,97.8,Daily LKD Free (% Devices)
2025,Q3,8,9,97.9,Daily LKD Free (% Devices)
2025,Q3,8,10,97.9,Daily LKD Free (% Devices)
2025,Q3,8,11,97.9,Daily LKD Free (% Devices)
2025,Q3,8,12,97.8,Daily LKD Free (% Devices)
2025,Q3,8,13,97.9,Daily LKD Free (% Devices)
2025,Q3,8,14,97.9,Daily LKD Free (% Devices)
2025,Q3,8,15,97.9,Daily LKD Free (% Devices)
2025,Q3,8,16,97.9,Daily LKD Free (% Devices)
2025,Q3,8,17,97.8,Daily LKD Free (% Devices)
2025,Q3,8,18,97.9,Daily LKD Free (% Devices)
2025,Q3,8,19,97.9,Daily LKD Free (% Devices)
2025,Q3,8,20,97.9,Daily LKD Free (% Devices)
2025,Q3,8,21,97.9,Daily LKD Free (% Devices)
2025,Q3,8,22,97.9,Daily LKD Free (% Devices)
2025,Q3,8,23,97.9,Daily LKD Free (% Devices)
2025,Q3,8,24,97.9,Daily LKD Free (% Devices)
2025,Q3,8,25,97.9,Daily LKD Free (% Devices)
2025,Q3,8,26,97.9,Daily LKD Free (% Devices)
2025,Q3,8,27,97.9,Daily LKD Free (% Devices)
2025,Q3,8,28,97.9,Daily LKD Free (% Devices)
2025,Q3,8,29,97.9,Daily LKD Free (% Devices)
